Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAU,Almaden Minerals Ltd. Common Shares,$0.325,0.0247,8.225%,44596958.00,Canada,2015,476370,,
ACU,Acme United Corporation. Common Stock,$32.01,-0.945,-2.868%,113945581.00,United States,1988,10402,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$6.02,-0.13,-2.114%,132946011.00,United States,,415368,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.78,0.00,0.00%,140587500.00,United States,2021,15,,
AE,Adams Resources & Energy Inc. Common Stock,$30.51,0.76,2.555%,132871081.00,United States,,5128,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$7.72,0.06,0.783%,391803726.00,United States,,23929,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.7962,0.0162,2.077%,30207172.00,,2018,32648,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.8099,0.0308,3.953%,32144941.00,United States,,85612,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$19.31,1.83,10.469%,58367758.00,United States,2014,12457,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$0.8118,-0.0082,-1.00%,26081515.00,United States,,63563,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.7636,-0.0332,-4.167%,17746321.00,China,,94766,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.4942,0.0212,4.482%,112247491.00,United States,,1300404,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.2355,0.0082,0.368%,13117914.00,United States,,1776,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.60,0.02,0.437%,60868999.00,Canada,,94921,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.12,0.37,7.789%,138681851.00,United States,,3109,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.7101,0.0068,0.967%,72602904.00,Canada,,314171,,
ASXC,Asensus Surgical Inc. Common Stock,$0.7981,0.0281,3.649%,187713120.00,United States,,1855973,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$5.16,0.21,4.242%,113679124.00,United States,,99627,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.3705,0.0182,5.166%,60319109.00,United States,,257102,Basic Industries,Metal Mining
AWX,Avalon Holdings Corporation Common Stock,$3.27,0.01,0.307%,12751139.00,United States,,2426,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$1.39,0.03,2.206%,215798752.00,Canada,,564985,,
BATL,Battalion Oil Corporation Common Stock,$17.38,-3.79,-17.903%,282840608.00,,,248751,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$23.33,-0.01,-0.043%,128729947.00,United States,,27965,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.35,-0.12,-0.471%,,United States,,300,,
BDL,Flanigan's Enterprises Inc. Common Stock,$28.64,-0.36,-1.241%,53231650.00,United States,,3107,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$0.44,0.00,0.00%,5455017.00,United States,,25712,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$4.67,0.30,6.865%,85596164.00,Canada,,110335,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.87,0.15,0.505%,448079870.00,United States,,14995,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$2.65,0.28,11.814%,44557990.00,United States,,46536,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$9.51,0.37,4.048%,116082655.00,,2018,60414,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$17.70,0.28,1.607%,332301251.00,,,54912,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$26.52,-0.03,-0.113%,731143830.00,,2014,402243,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.4575,0.00,0.00%,,,,3759,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.415,0.065,0.256%,,,,3060,,
BRN,Barnwell Industries Inc. Common Stock,$2.71,0.08,3.042%,25597644.00,United States,,195727,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.57,0.03,0.847%,3768437001.00,Canada,,8959147,,
BTN,Ballantyne Strong Inc. Common Stock,$3.00,0.08,2.74%,55425054.00,United States,,54578,Miscellaneous,Industrial Machinery/Components
BTTR,Better Choice Company Inc. Common Stock,$2.37,0.065,2.82%,69301921.00,,2021,60476,Consumer Non-Durables,Food Distributors
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.13,0.03,2.727%,30726444.00,Israel,,241409,Health Care,Biotechnology: Pharmaceutical Preparations
CCF,Chase Corporation Common Stock,$96.23,0.29,0.302%,910305488.00,United States,,17493,Basic Industries,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,$0.5561,-0.0079,-1.401%,139025000.00,United States,,8906297,Energy,Oil & Gas Production
